subprograma,Proyecto,BPID,Presupuesto_proyecto_recursos_propios,Presupuesto_proyecto_transferencias
Subprograma acceso y permanencia,Implementación de estrategias de acceso y permanencia al sistema educativo del departamento,2016-17000-0057,8548576536,13164850650
Subprograma acceso y permanencia,Fortalecimientos de los modelos flexibles para la población vulnerable del área rural del departamento de Caldas,2016-17000-0060,700000000,0
Subprograma fortalecimiento de la educación inicial,Fortalecimiento de la formación a los agentes educativos responsables de la educación inicial en el departamento de Caldas,2016-17000-0056,5000000,0
Subprograma atención a la población vulnerable,Fortalecimiento de la gestión para el acceso; la equidad y la calidad del servicio educativo a la población vulnerable del departamento de Caldas,2016-17000-0050,10000000,1051938000
Subprograma atención a la población vulnerable,Administración de los recursos humanos para la prestación del servicio educativo en el departamento de Caldas,2016-17000-0054,0,225271877662
Excelencia docente,Capacitación; cualificación y formación a docentes y directivos docentes del departamento de Caldas,2016-17000-0052,0,35000000
Implementación de la jornada única,Fortalecimiento para la implementación del programa de jornada única en el departamento de Caldas,2016-17000-0048,0,35000000
Subprograma apoyo a la gestión escolar,Fortalecimiento del programa bandas estudiantiles de música en el departamento de Caldas,2016-17000-0055,450000000,0
Subprograma apoyo a la gestión escolar,Fortalecimiento de la gestión escolar en los establecimientos educativos oficiales del departamento de Caldas,2016-17000-0061,75000000,35100000
Conectividad de establecimientos educativos,Suministros de conectividad a internet de establecimientos educativos oficiales del departamento,2016-17000-0053,0,1702000000
Hacia un Caldas bilingüe,Fortalecimiento de competencias comunicativas en inglés como segunda lengua en el departamento de Caldas,2016-17000-0059,0,35000000
Subprograma etnoeducación,Fortalecimiento de los procesos etnoeducativos en el departamento de Caldas,2016-17000-0001,50000000,35000000
Subprograma mejoramiento de ambientes escolares,Mejoramiento de los espacios físicos de los establecimientos educativos del departamento de Caldas,2016-17000-0058,10302361600,0
Subprograma incorporación de las TIC y la investigación en las prácticas pedagógicas,Implementación de estrategias de uso de tecnología de la información y comunicación en el aula de clase en el departamento de Caldas,2016-17000-0098,62200000,0
Subprograma articulación de la educación media con la educación terciaria,Implementación de estrategias de articulación de la educación media con la educación terciaria del departamento de Caldas,2016-17000-0049,1111000000,2244984657